game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,home_team_win,point_differential,total_points,home_points_scored_rolling,home_points_allowed_rolling,home_point_diff_rolling,home_win_rate_rolling,home_recent_form,away_points_scored_rolling,away_points_allowed_rolling,away_point_diff_rolling,away_win_rate_rolling,away_recent_form,home_epa_per_play,home_success_rate,home_yards_per_play,home_epa_allowed_per_play,home_success_rate_allowed,away_epa_per_play,away_success_rate,away_yards_per_play,away_epa_allowed_per_play,away_success_rate_allowed,points_scored_rolling_differential,points_allowed_rolling_differential,point_diff_rolling_differential,win_rate_rolling_differential,recent_form_differential,is_divisional_game
2025_12_JAX_ARI,2025,REG,12,2025-11-23,Sunday,16:05,JAX,,ARI,,Home,,,,2025112307,,,202511230crd,28590.0,401772783,6906.0,7,7,,,,,,,,,0,closed,grass,,,,,,,Liam Coen,Jonathan Gannon,,PHO00,State Farm Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.0,0.0,0
2025_12_CLE_LV,2025,REG,12,2025-11-23,Sunday,16:05,CLE,,LV,,Home,,,,2025112308,,,202511230rai,28591.0,401772784,6907.0,7,6,,,,,,,,,0,dome,grass,,,,,,,Kevin Stefanski,Pete Carroll,,VEG00,Allegiant Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.0,-0.3333333333333333,0
2025_12_PHI_DAL,2025,REG,12,2025-11-23,Sunday,16:25,PHI,,DAL,,Home,,,,2025112309,,,202511230dal,28592.0,401772890,6908.0,7,6,,,,,,,,,1,closed,matrixturf,,,,,,,Nick Sirianni,Brian Schottenheimer,,DAL00,AT&T Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.0,0.3333333333333333,0
2025_12_ATL_NO,2025,REG,12,2025-11-23,Sunday,16:25,ATL,,NO,,Home,,,,2025112310,,,202511230nor,28593.0,401772889,6909.0,7,14,,,,,,,,,1,dome,sportturf,,,,,,,Raheem Morris,Kellen Moore,,NOR00,Mercedes-Benz Superdome,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.25,0.0,0
2025_12_TB_LA,2025,REG,12,2025-11-23,Sunday,20:20,TB,,LA,,Home,,,,2025112311,,,202511230ram,28594.0,401772929,6910.0,7,7,,,,,,,,,0,dome,matrixturf,,,,,,,Todd Bowles,Sean McVay,,LAX01,SoFi Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.75,0.6666666666666666,,,,,,,,,,,,,,-0.25,-0.3333333333333333,0
2025_12_CAR_SF,2025,REG,12,2025-11-24,Monday,20:15,CAR,,SF,,Home,,,,2025112400,,,202511240sfo,28595.0,401772820,6911.0,8,8,,,,,,,,,0,outdoors,grass,,,,,,,Dave Canales,Kyle Shanahan,,SFO01,Levi's Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.25,0.0,0
2025_13_GB_DET,2025,REG,13,2025-11-27,Thursday,13:00,GB,,DET,,Home,,,,2025112700,,,202511270det,28596.0,401772891,6912.0,4,4,,,,,,,,,1,dome,fieldturf,,,,,,,Matt LaFleur,Dan Campbell,,DET00,Ford Field,0,,,,,,0.5,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.25,0.3333333333333333,0
2025_13_KC_DAL,2025,REG,13,2025-11-27,Thursday,16:30,KC,,DAL,,Home,,,,2025112701,,,202511270dal,28597.0,401772694,6913.0,4,4,,,,,,,,,0,closed,matrixturf,,,,,,,Andy Reid,Brian Schottenheimer,,DAL00,AT&T Stadium,0,,,,,,0.5,0.3333333333333333,,,,0.5,0.6666666666666666,,,,,,,,,,,,,,0.0,-0.3333333333333333,0
2025_13_CIN_BAL,2025,REG,13,2025-11-27,Thursday,20:20,CIN,,BAL,,Home,,,,2025112702,,,202511270rav,28598.0,401772930,6914.0,4,4,,,,,,,,,1,outdoors,grass,,,,,,,Zac Taylor,John Harbaugh,,BAL00,M&T Bank Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.5,0.3333333333333333,0
2025_13_CHI_PHI,2025,REG,13,2025-11-28,Friday,15:00,CHI,,PHI,,Home,,,,2025112800,,,202511280phi,28599.0,401772621,6915.0,5,5,,,,,,,,,0,outdoors,grass,,,,,,,Ben Johnson,Nick Sirianni,,PHI00,Lincoln Financial Field,0,,,,,,0.5,0.6666666666666666,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.0,0.3333333333333333,0
2025_13_LA_CAR,2025,REG,13,2025-11-30,Sunday,13:00,LA,,CAR,,Home,,,,2025113000,,,202511300car,28600.0,401772894,6916.0,7,6,,,,,,,,,0,outdoors,grass,,,,,,,Sean McVay,Dave Canales,,CAR00,Bank of America Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.5,0.3333333333333333,0
2025_13_SF_CLE,2025,REG,13,2025-11-30,Sunday,13:00,SF,,CLE,,Home,,,,2025113001,,,202511300cle,28601.0,401772785,6917.0,6,7,,,,,,,,,0,outdoors,grass,,,,,,,Kyle Shanahan,Kevin Stefanski,,CLE00,FirstEnergy Stadium,0,,,,,,0.75,0.6666666666666666,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,0.25,0.3333333333333333,0
2025_13_HOU_IND,2025,REG,13,2025-11-30,Sunday,13:00,HOU,,IND,,Home,,,,2025113002,,,202511300clt,28602.0,401772787,6918.0,10,7,,,,,,,,,1,closed,fieldturf,,,,,,,DeMeco Ryans,Shane Steichen,,IND00,Lucas Oil Stadium,0,,,,,,0.5,0.6666666666666666,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,0.25,0.3333333333333333,0
